episode,phase,starting_stones,steps,avg_return,ema_return,win_rate,draw_rate,policy_loss,value_loss,entropy,kl_div,clip_frac,grad_norm,lr,cycle_step,last_reset_event,minimax_depth_beaten,clone_gen,active_mm_max_depth,shaping_mult,wr_vs_mm_d1,wr_vs_mm_d2,wr_vs_mm_d3,wr_vs_mm_d4,wr_vs_mm_d5,wr_vs_mm_d6,wr_vs_mm_d7,wr_vs_random,wr_vs_self,slope_angle_d1,slope_angle_d2,slope_angle_d3,slope_angle_d4,slope_angle_d5,slope_angle_d6,slope_angle_d7,samples_in_window_d1,samples_in_window_d2,samples_in_window_d3,samples_in_window_d4,samples_in_window_d5,samples_in_window_d6,samples_in_window_d7,eps_per_sec
852911,1,-1,31043615,1.3424561227224008,0.8260816970452818,0.73325,0.1065,-0.005426793565441455,0.24445264083998544,2.1435178552355083,0.0029950684368876476,0.09522224487293335,2.3815348148345947,5.114754098360655e-05,0,none,0,1,1,0.9282954166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.572,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,296.6056078771296
877492,1,-1,31835915,1.4422314299769177,0.8568891836918635,0.76475,0.0915,-0.006865505298871237,0.25217175111174583,2.0564751103520393,0.0033801447825680953,0.09622067903789382,1.2253090143203735,5.262295081967213e-05,0,none,1,1,1,0.9260095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898,0.656,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,296.8526011180148
902074,1,-1,32607737,1.5496622135331812,0.8915278351839293,0.76025,0.0785,-0.008385288053422525,0.24615645376584863,2.0213857927630023,0.0032637586381526725,0.09661894804367455,0.7732981443405151,5.40983606557377e-05,0,none,2,1,1,0.92362575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896,0.626,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,297.074056437875
926663,1,-1,33348563,1.6542097971301337,0.9296619332812395,0.789,0.085,-0.00907336716522633,0.23868188518349842,1.971879912960914,0.003293307858609384,0.09252103450157309,0.7125364542007446,5.557377049180327e-05,0,none,0,1,1,0.9213481666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898,0.66,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,297.6039851391585
951247,1,-1,34057883,1.6970455917874396,0.9680311162065495,0.79,0.088,-0.009873670713183865,0.25043071429619845,1.9124732524499126,0.0034232341782082856,0.09533906616698737,0.8189206719398499,5.7049180327868844e-05,0,none,2,1,1,0.9191893333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.686,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,298.85137822447876
975825,1,-1,34767576,1.7818575873285252,1.0087224397626482,0.81225,0.0835,-0.012144263223227527,0.23332315766149098,1.8947317348586188,0.003495694674913668,0.09788954738113616,2.646575927734375,5.8524590163934416e-05,0,none,2,1,1,0.916873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.868,0.712,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,299.56143015890103
1000426,1,-1,35465334,1.8182742265032108,1.0492000290996764,0.811,0.077,-0.011339127536519385,0.238246079711687,1.901875886179152,0.0038066151083469215,0.10183971339748019,0.716033935546875,5.9999999999999995e-05,0,none,0,1,1,0.9145125833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898,0.708,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,300.2304767351827
1025007,1,-1,36153641,1.864494611127294,1.0899647582010572,0.82375,0.0815,-0.012917517928317898,0.23304893253814607,1.8981869944504328,0.0037677569032114533,0.1013702844225225,0.9474946856498718,6.147540983606557e-05,0,none,1,1,1,0.9120556666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896,0.746,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,301.0791596545546
1057781,1,-1,37035129,1.8953184394798266,1.1302324422649956,0.83575,0.0785,-0.013865075625312502,0.23546731692773323,1.8559790599493333,0.0040705335041922,0.10704448975530671,0.8747844696044922,6.344262295081967e-05,0,none,1,1,1,0.9090945833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.756,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,303.0244642338575
1082360,1,-1,37690607,1.9485273274439374,1.1711471865239427,0.831,0.073,-0.016062511174284196,0.2200496792793274,1.8440696427851548,0.003806606531545612,0.10192182549723873,0.816398024559021,6.491803278688524e-05,0,none,1,1,1,0.9066858333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886,0.756,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,304.10107675288384
1106938,1,-1,38328634,1.950954087913679,1.2101375315934295,0.8375,0.077,-0.016052200393273663,0.234052028411474,1.8463616906068263,0.004452381484532872,0.10799990355586395,0.8024088144302368,6.639344262295081e-05,0,none,0,1,1,0.9043286666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894,0.752,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,305.3611696887676
1131535,1,-1,38973825,1.999227425409998,1.249592026284258,0.85025,0.0725,-0.014558658304934701,0.23436576147874197,1.8040735626220703,0.0043054130502666035,0.10847816358009975,0.6200556755065918,6.786885245901639e-05,0,none,1,1,1,0.90187775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894,0.812,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,306.4105134854257
1156143,1,-1,39594623,1.9800720585072058,1.2861160278954051,0.8415,0.069,-0.015555748902261256,0.23515936811765034,1.802424152692159,0.004667745623737574,0.11083603938420614,1.181896686553955,6.934426229508197e-05,0,none,2,1,1,0.8993075833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898,0.774,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,307.40040445723196
1180728,1,-1,40197845,2.0021810406272276,1.3219192785319962,0.85825,0.0685,-0.015288406206915775,0.2371041113138199,1.811260650952657,0.004030321383227905,0.10562779555718103,0.9569824934005737,7.081967213114753e-05,0,none,2,1,1,0.8970653333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928,0.778,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,308.8921821146322
1205313,1,-1,40778889,1.9600327083130933,1.353824950021051,0.82875,0.0395,-0.013328375484420438,0.2878279550509019,1.6933604225967869,0.030894480081218662,0.1260883572200934,0.971124529838562,7.229508196721311e-05,0,none,1,1,1,0.8944938333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882,0.764,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,310.0478242643709
1229895,1,-1,41287011,2.079857303190636,1.3901265676795302,0.8435,0.041,-0.02148284738403604,0.2644450337146268,1.6045142954046077,0.004501585502911246,0.10689058177398914,1.632625699043274,7.377049180327868e-05,0,none,1,1,1,0.891946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918,0.81,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,311.3387014502865
